Дата	Номер	Контрагент	Сумма	ПП создано	Статус оплаты	Оплата	Поступление	Дата входящего документа	Номер входящего документа	Комментарий	Номенклатура	Количество	Номенклатура.Единица	Цена	Сумма	% НДС	НДС	Всего	Доп информация
09.01.2023 17:14:39	0000-000001	ООО "ГЕРМЕС"	4 864,50	Нет	Не оплачен	Не оплачен	Не получен	09.01.2023	6	160	Доборный элемент (ед.изм. м2) 2500*120*0.5 Полиэстер (7047)	0,900	м2	791,67	712,50	20%	142,50	855
09.01.2023 17:14:39	0000-000001	ООО "ГЕРМЕС"	4 864,50	Нет	Не оплачен	Не оплачен	Не получен	09.01.2023	6	160	Доборный элемент (ед.изм. м2) 2500*198*0.5 Полиэстер (7024)	4,455	м2	750,00	3 341,25	20%	668,25	4 009,5
09.01.2023 17:14:40	0000-000002	ООО "ВСЕИНСТРУМЕНТЫ.РУ"	4 792,00	Нет	Оплачен полностью	Не оплачен	Не получен	09.01.2023	2301-100101-53975	160	MATRIX Хвостовик 6-гранный для коронок BIMETAL свыше 30 мм// 72496	2,000	шт	255,00	510,00	20%	102,00	612
09.01.2023 17:14:40	0000-000002	ООО "ВСЕИНСТРУМЕНТЫ.РУ"	4 792,00	Нет	Оплачен полностью	Не оплачен	Не получен	09.01.2023	2301-100101-53975	160	ODIHEL Аэрозоль эмаль алкидная RAL7024 Серый графит полуматовый (520мл) RAL7024ASM	2,000	шт	275,84	551,67	20%	110,33	662
09.01.2023 17:14:40	0000-000002	ООО "ВСЕИНСТРУМЕНТЫ.РУ"	4 792,00	Нет	Оплачен полностью	Не оплачен	Не получен	09.01.2023	2301-100101-53975	160	Pilorama Коронка Bi-Metall 8Со. 162мм 570162	2,000	шт	1 465,84	2 931,67	20%	586,33	3 518
09.01.2023 17:14:40	0000-000003	Металл-ДК ООО	5 850,00	Нет	Не оплачен	Не оплачен	Не получен	09.01.2023	МД000000131	160	Уголок L 50x4	30,000	м	162,50	4 875,00	20%	975,00	5 850
09.01.2023 17:14:40	0000-000004	Деловые Линии ООО	4 099,00	Нет	Не оплачен	Не оплачен	Не получен	09.01.2023	22-03971042918	160	Информирование о статусе и местонахождении груза	1,000	шт	12,50	12,50	20%	2,50	15
09.01.2023 17:14:40	0000-000004	Деловые Линии ООО	4 099,00	Нет	Не оплачен	Не оплачен	Не получен	09.01.2023	22-03971042918	160	Страхование груза и срока	1,000	шт	415,00	415,00	Без НДС		415
09.01.2023 17:14:40	0000-000004	Деловые Линии ООО	4 099,00	Нет	Не оплачен	Не оплачен	Не получен	09.01.2023	22-03971042918	160	Услуга по организации доставки (экспедированию) груза из г. Пушкин в г. Москва (мест: 6; 91 кг; 0,66	1,000	шт	1 907,50	1 907,50	20%	381,50	2 289
09.01.2023 17:14:40	0000-000004	Деловые Линии ООО	4 099,00	Нет	Не оплачен	Не оплачен	Не получен	09.01.2023	22-03971042918	160	Услуга по организации доставки (экспедированию) груза по г. Москва	1,000	шт	1 150,00	1 150,00	20%	230,00	1 380
09.01.2023 17:38:09	0000-000005	ООО "ВЕСТПЕРЕЕЗД"	13 500,00	Нет	Не оплачен	Не оплачен	Не получен	09.01.2023	20	140	Аренда контейнере 2D фут. за январь 2023г.	1,000		11 250,00	11 250,00	20%	2 250,00	13 500
09.01.2023 17:38:09	0000-000006	ООО "ВЕСТПЕРЕЕЗД"	10 800,00	Нет	Оплачен полностью	Не оплачен	Не получен	09.01.2023	21	160	Аренда контейнера 20 фут. за январь 2023г.	1,000		9 000,00	9 000,00	20%	1 800,00	10 800
10.01.2023 16:46:34	0000-000007	Металл-ДК ООО	6 900,00	Нет	Не оплачен	Не оплачен	Не получен	10.01.2023	МД000000164	160	Уголок L 25x3	60,000	м	95,83	5 750,00	20%	1 150,00	6 900
10.01.2023 16:46:34	0000-000008	Пластик-Север ООО	9 232,00	Нет	Не оплачен	Не оплачен	Не получен	10.01.2023	101	160	Бурт (втулка) под фланец ПВХ 110 под клей, Hidroten, Испания 1010134	4,000	шт	330,83	1 323,33	20%	264,67	1 588
10.01.2023 16:46:34	0000-000008	Пластик-Север ООО	9 232,00	Нет	Не оплачен	Не оплачен	Не получен	10.01.2023	101	160	Герметик силиконовый, универе., прозрачный, 280мл, TYTAN Professional	4,000	шт	456,67	1 826,67	20%	365,33	2 192
10.01.2023 16:46:34	0000-000008	Пластик-Север ООО	9 232,00	Нет	Не оплачен	Не оплачен	Не получен	10.01.2023	101	160	Муфта ПВХ разб. с внутр.резьб. 63x2" под клей, Hidroten, Испания 1002033	5,000	шт	372,50	1 862,50	20%	372,50	2 235
10.01.2023 16:46:34	0000-000008	Пластик-Север ООО	9 232,00	Нет	Не оплачен	Не оплачен	Не получен	10.01.2023	101	160	Муфта ПВХ разб. с нар.резьб. 63x2" под клей, Hidroten, Испания 1002078	3,000	шт	322,50	967,50	20%	193,50	1 161
10.01.2023 16:46:34	0000-000008	Пластик-Север ООО	9 232,00	Нет	Не оплачен	Не оплачен	Не получен	10.01.2023	101	160	Фланец ПВХ 110 Hidroten, Испания 1010029	4,000	шт	428,33	1 713,33	20%	342,67	2 056
10.01.2023 17:46:19	0000-000010	ЭКС ООО	4 819,55	Нет	Не оплачен	Не оплачен	Не получен	10.01.2023	Р23-307	160.162	Выключатель автоматический однополюсный 6А С ВА47-29 4.5кА - MVA20-1-006-C	5,000	шт	109,96	549,79	20%	109,96	659,75
10.01.2023 17:46:19	0000-000010	ЭКС ООО	4 819,55	Нет	Не оплачен	Не оплачен	Не получен	10.01.2023	Р23-307	160.162	Контакт состояния КС47 новая серия на DIN -рейку - MVA01D-KS-1 ЗАМЕНА	3,000	шт	492,17	1 476,50	20%	295,30	1 771,8
10.01.2023 17:46:19	0000-000010	ЭКС ООО	4 819,55	Нет	Не оплачен	Не оплачен	Не получен	10.01.2023	Р23-307	160.162	Наконечник штыревой НШВИ 0.5-8 КВТ 79435	500,000	шт	0,30	150,00	20%	30,00	180
10.01.2023 17:46:19	0000-000010	ЭКС ООО	4 819,55	Нет	Не оплачен	Не оплачен	Не получен	10.01.2023	Р23-307	160.162	Провод ПуГВ 1x1 Ч 450/750В (бухта) (м)	200,000	м	9,20	1 840,00	20%	368,00	2 208
11.01.2023 17:41:22	0000-000011	ООО "ТАНТАЛ-4"	10 375,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	61	160	Аквест- 911 огнезащитная краска по металлу 25 кг	1,000		8 645,83	8 645,83	20%	1 729,17	10 375
11.01.2023 17:41:22	0000-000012	Пластик-Север ООО	9 723,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	191	160	Держатель стальной для труб (Дн 38... 44,мм) 1 1/4" с сантехшпилькой (М8)	16,000	шт	53,33	853,33	20%	170,67	1 024
11.01.2023 17:41:22	0000-000012	Пластик-Север ООО	9 723,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	191	160	Муфта ПВХ разб. с нар.резьб. 32x1" под клей, Hidroten, Испания 1002075	2,000	шт	148,34	296,67	20%	59,33	356
11.01.2023 17:41:22	0000-000012	Пластик-Север ООО	9 723,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	191	160	Ниппель двойной 50(2") оцинков.	4,000	шт	228,33	913,33	20%	182,67	1 096
11.01.2023 17:41:22	0000-000012	Пластик-Север ООО	9 723,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	191	160	Труба ПВХ 160 х 7,7мм (1,3 МПа) SDR 21 напор.с растр.под клей, L=3 м	1,000	шт	5 075,83	5 075,83	20%	1 015,17	6 091
11.01.2023 17:41:22	0000-000012	Пластик-Север ООО	9 723,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	191	160	Угольник ВР/ВР 50(2") оцинков.	4,000	шт	240,83	963,33	20%	192,67	1 156
11.01.2023 17:41:22	0000-000013	Болотсков Игорь Викторович	6 000,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	2291708	160	услуги грузоперевозки	1,000	шт	6 000,00	6 000,00	Без НДС		6 000
11.01.2023 17:41:22	0000-000014	Пластик-Север ООО	18 097,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	139	160	Бурт (втулка) под фланец ПВХ 160 под клей, Hidroten, Испания 1010137	5,000	шт	840,00	4 200,00	20%	840,00	5 040
